Cross Validation is off.
TRAINING - Epoch #417 Error:0.18120219946016936
TRAINING - Epoch #418 Error:0.18082350919993004
TRAINING - Epoch #419 Error:0.1804680023960464
TRAINING - Epoch #420 Error:0.18010415591921491
TRAINING - Epoch #421 Error:0.1798473410822762
TRAINING - Epoch #422 Error:0.17965027313766266
TRAINING - Epoch #423 Error:0.17952217028719353
TRAINING - Epoch #424 Error:0.17964442420475538
TRAINING - Epoch #425 Error:0.17935805018008502
TRAINING - Epoch #426 Error:0.1792369851893656
TRAINING - Epoch #427 Error:0.17899595636919896
TRAINING - Epoch #428 Error:0.17874720167351557
TRAINING - Epoch #429 Error:0.1784803295575511
TRAINING - Epoch #430 Error:0.17818314821221914
TRAINING - Epoch #431 Error:0.17786826237839262
TRAINING - Epoch #432 Error:0.1775489993269831
TRAINING - Epoch #433 Error:0.17736390897207902
TRAINING - Epoch #434 Error:0.17707582274061137
TRAINING - Epoch #435 Error:0.17706974442343607
TRAINING - Epoch #436 Error:0.17708459092582196
TRAINING - Epoch #437 Error:0.1768592834502697
TRAINING - Epoch #438 Error:0.17667195924473666
TRAINING - Epoch #439 Error:0.17647879022333315
TRAINING - Epoch #440 Error:0.17624770461051809
TRAINING - Epoch #441 Error:0.1759802525988261
TRAINING - Epoch #442 Error:0.17568313545466016
TRAINING - Epoch #443 Error:0.17538003940451452
TRAINING - Epoch #444 Error:0.1750746247899032
TRAINING - Epoch #445 Error:0.1749490345778616
TRAINING - Epoch #446 Error:0.17496323618714701
TRAINING - Epoch #447 Error:0.17462168309667478
TRAINING - Epoch #448 Error:0.17437408555120912
TRAINING - Epoch #449 Error:0.17407433505675204
TRAINING - Epoch #450 Error:0.17371907322065358
TRAINING - Epoch #451 Error:0.17332156713873073
TRAINING - Epoch #452 Error:0.172883675385498
TRAINING - Epoch #453 Error:0.1724112247346052
TRAINING - Epoch #454 Error:0.17333340533770134
TRAINING - Epoch #455 Error:0.17215242672916653
TRAINING - Epoch #456 Error:0.17213427191715935
TRAINING - Epoch #457 Error:0.17198651960897315
TRAINING - Epoch #458 Error:0.1718554921259946
TRAINING - Epoch #459 Error:0.17184587297869344
TRAINING - Epoch #460 Error:0.17168953886361846
TRAINING - Epoch #461 Error:0.1715930604162976
TRAINING - Epoch #462 Error:0.17142450790967798
TRAINING - Epoch #463 Error:0.17123328718252714
TRAINING - Epoch #464 Error:0.17101412984591838
TRAINING - Epoch #465 Error:0.1707815679272696
TRAINING - Epoch #466 Error:0.170515059025348
TRAINING - Epoch #467 Error:0.17021022934479266
TRAINING - Epoch #468 Error:0.1698988963297879
TRAINING - Epoch #469 Error:0.1697004562305692
TRAINING - Epoch #470 Error:0.1696534350951691
TRAINING - Epoch #471 Error:0.16950640432486197
TRAINING - Epoch #472 Error:0.16947160165936628
TRAINING - Epoch #473 Error:0.1693137701000059
TRAINING - Epoch #474 Error:0.16911229788899976
TRAINING - Epoch #475 Error:0.16890387337546567
TRAINING - Epoch #476 Error:0.1686862109648235
TRAINING - Epoch #477 Error:0.16841884096108065
TRAINING - Epoch #478 Error:0.16811285426073294
TRAINING - Epoch #479 Error:0.167745986987791
TRAINING - Epoch #480 Error:0.16744155324715063
TRAINING - Epoch #481 Error:0.16731579110816222
TRAINING - Epoch #482 Error:0.1671269833796869
TRAINING - Epoch #483 Error:0.1670217705822643
TRAINING - Epoch #484 Error:0.16699398157469494
TRAINING - Epoch #485 Error:0.16684537813920372
TRAINING - Epoch #486 Error:0.1666657409896756
TRAINING - Epoch #487 Error:0.16644857530626597
TRAINING - Epoch #488 Error:0.1661995108303439
TRAINING - Epoch #489 Error:0.1659311746287193
TRAINING - Epoch #490 Error:0.1656048335459661
TRAINING - Epoch #491 Error:0.16526671950822777
TRAINING - Epoch #492 Error:0.16487704338088727
TRAINING - Epoch #493 Error:0.16460210546633036
TRAINING - Epoch #494 Error:0.16428268030405266
TRAINING - Epoch #495 Error:0.1641146945082738
TRAINING - Epoch #496 Error:0.16436316814221333
TRAINING - Epoch #497 Error:0.16399641008960783
TRAINING - Epoch #498 Error:0.1638462608386811
TRAINING - Epoch #499 Error:0.16366480140198278
TRAINING - Epoch #500 Error:0.16347394412252989
TRAINING - Epoch #501 Error:0.1632100635901122
TRAINING - Epoch #502 Error:0.16290028681159782
TRAINING - Epoch #503 Error:0.16254464227858464
TRAINING - Epoch #504 Error:0.1621523009710267
TRAINING - Epoch #505 Error:0.16175840338514536
TRAINING - Epoch #506 Error:0.1612503940128066
TRAINING - Epoch #507 Error:0.16076376348605073
TRAINING - Epoch #508 Error:0.16011526294254202
TRAINING - Epoch #509 Error:0.15948990075977795
TRAINING - Epoch #510 Error:0.16208892767962133
TRAINING - Epoch #511 Error:0.15958539389919654
TRAINING - Epoch #512 Error:0.15999833324074428
TRAINING - Epoch #513 Error:0.1592706535304653
TRAINING - Epoch #514 Error:0.1590358943388829
TRAINING - Epoch #515 Error:0.15878130768957507
TRAINING - Epoch #516 Error:0.15845868239503083
TRAINING - Epoch #517 Error:0.15808736059866377
TRAINING - Epoch #518 Error:0.15765892484189342
TRAINING - Epoch #519 Error:0.15715931021922203
TRAINING - Epoch #520 Error:0.15658739294627258
TRAINING - Epoch #521 Error:0.15602876103802846
TRAINING - Epoch #522 Error:0.16111942878372973
TRAINING - Epoch #523 Error:0.1561878429640929
TRAINING - Epoch #524 Error:0.1566377214772959
TRAINING - Epoch #525 Error:0.15609874026362536
TRAINING - Epoch #526 Error:0.1558209798985528
TRAINING - Epoch #527 Error:0.15585312042052865
TRAINING - Epoch #528 Error:0.15558002916601338
TRAINING - Epoch #529 Error:0.1554101940791296
TRAINING - Epoch #530 Error:0.155224227612596
TRAINING - Epoch #531 Error:0.1551429878222151
TRAINING - Epoch #532 Error:0.154909440614838
TRAINING - Epoch #533 Error:0.1546798295013032
TRAINING - Epoch #534 Error:0.1544579758848551
TRAINING - Epoch #535 Error:0.15418901505409321
TRAINING - Epoch #536 Error:0.15387954916566637
TRAINING - Epoch #537 Error:0.15352335376243387
TRAINING - Epoch #538 Error:0.15310705631845486
TRAINING - Epoch #539 Error:0.15264951996494924
TRAINING - Epoch #540 Error:0.1524188299846804
TRAINING - Epoch #541 Error:0.15387612192567465
TRAINING - Epoch #542 Error:0.15219327250533818
TRAINING - Epoch #543 Error:0.15187112794884153
TRAINING - Epoch #544 Error:0.15164667785397057
TRAINING - Epoch #545 Error:0.15198159258707958
TRAINING - Epoch #546 Error:0.15152767210187168
TRAINING - Epoch #547 Error:0.15138674589582854
TRAINING - Epoch #548 Error:0.15132183789545525
TRAINING - Epoch #549 Error:0.1512025930895834
TRAINING - Epoch #550 Error:0.15105309855389
TRAINING - Epoch #551 Error:0.15086968538578469
TRAINING - Epoch #552 Error:0.15066046577860315
TRAINING - Epoch #553 Error:0.15045056769491597
TRAINING - Epoch #554 Error:0.15035311615107894
TRAINING - Epoch #555 Error:0.1501653539696108
TRAINING - Epoch #556 Error:0.1499424170985001
TRAINING - Epoch #557 Error:0.14967764166424494
TRAINING - Epoch #558 Error:0.14942288999067044
TRAINING - Epoch #559 Error:0.1491239412367519
