Cross Validation is off.
TRAINING - Epoch #4240 Error:0.02286892897141843
TRAINING - Epoch #4241 Error:0.022883930074318257
TRAINING - Epoch #4242 Error:0.022865815758276054
TRAINING - Epoch #4243 Error:0.022858520401904375
TRAINING - Epoch #4244 Error:0.02285053027004885
TRAINING - Epoch #4245 Error:0.02284078807199477
TRAINING - Epoch #4246 Error:0.022829692080747883
TRAINING - Epoch #4247 Error:0.022829201269278083
TRAINING - Epoch #4248 Error:0.02282462988262357
TRAINING - Epoch #4249 Error:0.022825842257614914
TRAINING - Epoch #4250 Error:0.022819558537528973
TRAINING - Epoch #4251 Error:0.02281372695391985
TRAINING - Epoch #4252 Error:0.02281126063320557
TRAINING - Epoch #4253 Error:0.022806417210073423
TRAINING - Epoch #4254 Error:0.022799488505709842
TRAINING - Epoch #4255 Error:0.022791703262136753
TRAINING - Epoch #4256 Error:0.022782758132900854
TRAINING - Epoch #4257 Error:0.022772562942401705
TRAINING - Epoch #4258 Error:0.022762627546757258
TRAINING - Epoch #4259 Error:0.022749822596570383
TRAINING - Epoch #4260 Error:0.022742231517634062
TRAINING - Epoch #4261 Error:0.022736756954521996
TRAINING - Epoch #4262 Error:0.02273647617616348
TRAINING - Epoch #4263 Error:0.02273510466798791
TRAINING - Epoch #4264 Error:0.02273370579213556
TRAINING - Epoch #4265 Error:0.022728892214082617
TRAINING - Epoch #4266 Error:0.022724488689989737
TRAINING - Epoch #4267 Error:0.022718338212349806
TRAINING - Epoch #4268 Error:0.022711545510777198
TRAINING - Epoch #4269 Error:0.022703536159099452
TRAINING - Epoch #4270 Error:0.022694759991250563
TRAINING - Epoch #4271 Error:0.022684390725948318
TRAINING - Epoch #4272 Error:0.022676613368088072
TRAINING - Epoch #4273 Error:0.022676204654151905
TRAINING - Epoch #4274 Error:0.02267909746722027
TRAINING - Epoch #4275 Error:0.022671158122601575
TRAINING - Epoch #4276 Error:0.022664551792020843
TRAINING - Epoch #4277 Error:0.02266101155888464
TRAINING - Epoch #4278 Error:0.022653994420624157
TRAINING - Epoch #4279 Error:0.022645946164854155
TRAINING - Epoch #4280 Error:0.022636536962171643
TRAINING - Epoch #4281 Error:0.02262600032167492
TRAINING - Epoch #4282 Error:0.022618124395901214
TRAINING - Epoch #4283 Error:0.022619219420493927
TRAINING - Epoch #4284 Error:0.02261069692640812
TRAINING - Epoch #4285 Error:0.02261359652628502
TRAINING - Epoch #4286 Error:0.022608516083664345
TRAINING - Epoch #4287 Error:0.022603093715395595
TRAINING - Epoch #4288 Error:0.022599736931399605
TRAINING - Epoch #4289 Error:0.022593771184236246
TRAINING - Epoch #4290 Error:0.022588576996034813
TRAINING - Epoch #4291 Error:0.02258099170407823
TRAINING - Epoch #4292 Error:0.0225725433995454
TRAINING - Epoch #4293 Error:0.022562725658079447
TRAINING - Epoch #4294 Error:0.02255186461358123
TRAINING - Epoch #4295 Error:0.02253950551216644
TRAINING - Epoch #4296 Error:0.022534672710023834
TRAINING - Epoch #4297 Error:0.0225465043222616
TRAINING - Epoch #4298 Error:0.022527802680437414
TRAINING - Epoch #4299 Error:0.022521846218505986
TRAINING - Epoch #4300 Error:0.022518513079817833
TRAINING - Epoch #4301 Error:0.022519216098787802
TRAINING - Epoch #4302 Error:0.02251585391443325
TRAINING - Epoch #4303 Error:0.02251145007796006
TRAINING - Epoch #4304 Error:0.02250718013427758
TRAINING - Epoch #4305 Error:0.022501295520326713
TRAINING - Epoch #4306 Error:0.02249458899218612
TRAINING - Epoch #4307 Error:0.022487772488996038
TRAINING - Epoch #4308 Error:0.022479090810400407
TRAINING - Epoch #4309 Error:0.02246910187890287
TRAINING - Epoch #4310 Error:0.022459803027661623
TRAINING - Epoch #4311 Error:0.022456162754147465
TRAINING - Epoch #4312 Error:0.022459699283619187
TRAINING - Epoch #4313 Error:0.022451151880940063
TRAINING - Epoch #4314 Error:0.022443237905195562
TRAINING - Epoch #4315 Error:0.022436295305671195
TRAINING - Epoch #4316 Error:0.022429841755781183
TRAINING - Epoch #4317 Error:0.02241719706851252
TRAINING - Epoch #4318 Error:0.02240732438818573
TRAINING - Epoch #4319 Error:0.022401093890622073
TRAINING - Epoch #4320 Error:0.022400949902654108
TRAINING - Epoch #4321 Error:0.022399945431939
TRAINING - Epoch #4322 Error:0.022392499920934002
TRAINING - Epoch #4323 Error:0.02238634248397235
TRAINING - Epoch #4324 Error:0.022381900211793048
TRAINING - Epoch #4325 Error:0.02238471755757765
TRAINING - Epoch #4326 Error:0.022375932975421457
TRAINING - Epoch #4327 Error:0.022370835969383763
TRAINING - Epoch #4328 Error:0.02236377654930245
TRAINING - Epoch #4329 Error:0.022355671935652032
TRAINING - Epoch #4330 Error:0.022346373331491868
TRAINING - Epoch #4331 Error:0.022337468757436644
TRAINING - Epoch #4332 Error:0.022339960539749116
TRAINING - Epoch #4333 Error:0.022330948336311815
TRAINING - Epoch #4334 Error:0.022324943490694693
TRAINING - Epoch #4335 Error:0.022325694199566717
TRAINING - Epoch #4336 Error:0.022319285144204573
TRAINING - Epoch #4337 Error:0.022315256016351124
TRAINING - Epoch #4338 Error:0.02231002463431422
TRAINING - Epoch #4339 Error:0.022304592648468197
TRAINING - Epoch #4340 Error:0.022298883836987096
TRAINING - Epoch #4341 Error:0.022291945463375953
TRAINING - Epoch #4342 Error:0.022284727805075722
TRAINING - Epoch #4343 Error:0.02227505596456854
TRAINING - Epoch #4344 Error:0.022263940469360356
TRAINING - Epoch #4345 Error:0.022250815441290716
TRAINING - Epoch #4346 Error:0.022239327279028775
TRAINING - Epoch #4347 Error:0.022250830499808708
TRAINING - Epoch #4348 Error:0.022238860200705698
TRAINING - Epoch #4349 Error:0.02223655244876985
TRAINING - Epoch #4350 Error:0.022233585144077833
TRAINING - Epoch #4351 Error:0.02222987002208815
TRAINING - Epoch #4352 Error:0.022225244277700663
TRAINING - Epoch #4353 Error:0.02221947181475951
TRAINING - Epoch #4354 Error:0.02221232012191536
TRAINING - Epoch #4355 Error:0.022204101894782415
TRAINING - Epoch #4356 Error:0.02219433571849574
TRAINING - Epoch #4357 Error:0.022183018114383862
TRAINING - Epoch #4358 Error:0.02217782627495818
TRAINING - Epoch #4359 Error:0.02218736022113137
TRAINING - Epoch #4360 Error:0.02217563437257759
TRAINING - Epoch #4361 Error:0.022169068281119284
TRAINING - Epoch #4362 Error:0.022161152465395812
TRAINING - Epoch #4363 Error:0.022161621589254412
TRAINING - Epoch #4364 Error:0.022157136033340536
TRAINING - Epoch #4365 Error:0.02215331886215839
TRAINING - Epoch #4366 Error:0.022146821978724373
TRAINING - Epoch #4367 Error:0.022139354102549382
TRAINING - Epoch #4368 Error:0.02213231003964422
TRAINING - Epoch #4369 Error:0.022130045278773283
TRAINING - Epoch #4370 Error:0.022126562474182338
TRAINING - Epoch #4371 Error:0.022123801883554953
TRAINING - Epoch #4372 Error:0.022120318706374816
TRAINING - Epoch #4373 Error:0.022114613258537374
TRAINING - Epoch #4374 Error:0.02211007637278004
TRAINING - Epoch #4375 Error:0.02210402595655075
TRAINING - Epoch #4376 Error:0.02209624561525227
TRAINING - Epoch #4377 Error:0.022087380130806314
TRAINING - Epoch #4378 Error:0.022077183364491364
TRAINING - Epoch #4379 Error:0.022067668788486525
TRAINING - Epoch #4380 Error:0.022055010734676334
TRAINING - Epoch #4381 Error:0.022041038786532213
TRAINING - Epoch #4382 Error:0.022037740125659178
TRAINING - Epoch #4383 Error:0.022051549131375792
TRAINING - Epoch #4384 Error:0.02203046488815825
TRAINING - Epoch #4385 Error:0.02202919851759838
TRAINING - Epoch #4386 Error:0.0220286038098667
TRAINING - Epoch #4387 Error:0.022026327502366095
TRAINING - Epoch #4388 Error:0.022022131817486565
TRAINING - Epoch #4389 Error:0.022016754436045654
TRAINING - Epoch #4390 Error:0.02201005184792111
TRAINING - Epoch #4391 Error:0.022002486818480656
TRAINING - Epoch #4392 Error:0.02199365468685921
TRAINING - Epoch #4393 Error:0.021983406589790432
TRAINING - Epoch #4394 Error:0.02197153318005067
TRAINING - Epoch #4395 Error:0.02196035727087166
TRAINING - Epoch #4396 Error:0.02196299959434066
TRAINING - Epoch #4397 Error:0.02195340165918602
TRAINING - Epoch #4398 Error:0.021957578778218714
TRAINING - Epoch #4399 Error:0.021949592694471224
TRAINING - Epoch #4400 Error:0.021948779998924677
TRAINING - Epoch #4401 Error:0.021943594235969217
TRAINING - Epoch #4402 Error:0.02193863568198798
TRAINING - Epoch #4403 Error:0.02193229640489675
TRAINING - Epoch #4404 Error:0.02192700990039437
TRAINING - Epoch #4405 Error:0.02191957137802308
TRAINING - Epoch #4406 Error:0.021911223171023633
TRAINING - Epoch #4407 Error:0.02190915355346836
TRAINING - Epoch #4408 Error:0.021909507487682788
TRAINING - Epoch #4409 Error:0.021906449604800347
TRAINING - Epoch #4410 Error:0.021902587391531128
TRAINING - Epoch #4411 Error:0.021897094412933527
TRAINING - Epoch #4412 Error:0.021890641392083382
TRAINING - Epoch #4413 Error:0.021883241916113322
TRAINING - Epoch #4414 Error:0.02187429814367682
TRAINING - Epoch #4415 Error:0.02186375571971107
TRAINING - Epoch #4416 Error:0.02185138879808249
TRAINING - Epoch #4417 Error:0.021836948860508687
TRAINING - Epoch #4418 Error:0.021824382936519716
TRAINING - Epoch #4419 Error:0.02183076571520325
TRAINING - Epoch #4420 Error:0.021827901056824806
TRAINING - Epoch #4421 Error:0.02181951138816457
TRAINING - Epoch #4422 Error:0.021816541475118953
TRAINING - Epoch #4423 Error:0.021813602724807563
TRAINING - Epoch #4424 Error:0.021808894744934807
TRAINING - Epoch #4425 Error:0.021802465816510252
TRAINING - Epoch #4426 Error:0.021795389384603032
TRAINING - Epoch #4427 Error:0.021788159926641293
TRAINING - Epoch #4428 Error:0.021779757913948927
TRAINING - Epoch #4429 Error:0.021770919880485785
TRAINING - Epoch #4430 Error:0.02176390728464732
TRAINING - Epoch #4431 Error:0.02176516852833209
TRAINING - Epoch #4432 Error:0.0217599272118411
TRAINING - Epoch #4433 Error:0.02175847534754648
TRAINING - Epoch #4434 Error:0.021756466102734073
TRAINING - Epoch #4435 Error:0.02175236303308715
TRAINING - Epoch #4436 Error:0.021748820398913696
TRAINING - Epoch #4437 Error:0.02174313070146791
TRAINING - Epoch #4438 Error:0.02173666867476091
TRAINING - Epoch #4439 Error:0.02172916569981188
TRAINING - Epoch #4440 Error:0.02172085100661604
TRAINING - Epoch #4441 Error:0.021711793047829425
TRAINING - Epoch #4442 Error:0.02170056048539028
TRAINING - Epoch #4443 Error:0.02168927700905064
TRAINING - Epoch #4444 Error:0.02168191723712018
TRAINING - Epoch #4445 Error:0.0217008259798129
TRAINING - Epoch #4446 Error:0.021679274846695334
TRAINING - Epoch #4447 Error:0.0216713240247617
TRAINING - Epoch #4448 Error:0.021662439916068154
TRAINING - Epoch #4449 Error:0.02165902654592751
TRAINING - Epoch #4450 Error:0.02165635737527327
TRAINING - Epoch #4451 Error:0.02165635076338329
TRAINING - Epoch #4452 Error:0.02165246069720617
TRAINING - Epoch #4453 Error:0.02164702284913871
TRAINING - Epoch #4454 Error:0.021641819514501642
TRAINING - Epoch #4455 Error:0.021634884259800573
TRAINING - Epoch #4456 Error:0.021628160670098137
TRAINING - Epoch #4457 Error:0.021620139874162194
TRAINING - Epoch #4458 Error:0.02160984323210538
TRAINING - Epoch #4459 Error:0.021597699590559613
TRAINING - Epoch #4460 Error:0.021583889894851854
TRAINING - Epoch #4461 Error:0.02156897881371293
TRAINING - Epoch #4462 Error:0.02155705187634534
TRAINING - Epoch #4463 Error:0.02155929900045356
TRAINING - Epoch #4464 Error:0.02157573739214788
TRAINING - Epoch #4465 Error:0.02154784684397044
TRAINING - Epoch #4466 Error:0.02154405204235872
TRAINING - Epoch #4467 Error:0.021537251766182538
TRAINING - Epoch #4468 Error:0.021539481890814394
TRAINING - Epoch #4469 Error:0.021534391745854687
TRAINING - Epoch #4470 Error:0.02153048688015539
TRAINING - Epoch #4471 Error:0.021523969841531664
TRAINING - Epoch #4472 Error:0.021522648224331777
TRAINING - Epoch #4473 Error:0.02152112619968205
TRAINING - Epoch #4474 Error:0.021518035723185665
TRAINING - Epoch #4475 Error:0.021513134810328998
TRAINING - Epoch #4476 Error:0.0215076626651789
TRAINING - Epoch #4477 Error:0.021501294213362335
TRAINING - Epoch #4478 Error:0.02149432197930064
TRAINING - Epoch #4479 Error:0.021494213565164597
TRAINING - Epoch #4480 Error:0.021487006579353596
TRAINING - Epoch #4481 Error:0.021481452292073933
TRAINING - Epoch #4482 Error:0.021473570027982575
TRAINING - Epoch #4483 Error:0.02146503819233737
TRAINING - Epoch #4484 Error:0.02146363367757792
TRAINING - Epoch #4485 Error:0.021463530465251512
TRAINING - Epoch #4486 Error:0.021459532978769204
TRAINING - Epoch #4487 Error:0.02145692005379062
TRAINING - Epoch #4488 Error:0.021451732468745512
TRAINING - Epoch #4489 Error:0.02144621160886395
TRAINING - Epoch #4490 Error:0.021440095062790872
TRAINING - Epoch #4491 Error:0.021432662283666176
TRAINING - Epoch #4492 Error:0.021423907695648215
TRAINING - Epoch #4493 Error:0.021415590095238038
TRAINING - Epoch #4494 Error:0.021414792744144488
TRAINING - Epoch #4495 Error:0.02141391011172647
TRAINING - Epoch #4496 Error:0.021410597432153507
TRAINING - Epoch #4497 Error:0.021408011694086574
TRAINING - Epoch #4498 Error:0.021403498516819275
TRAINING - Epoch #4499 Error:0.02139916410858671
TRAINING - Epoch #4500 Error:0.02139321122662656
TRAINING - Epoch #4501 Error:0.02138816300773456
TRAINING - Epoch #4502 Error:0.02138312309206085
TRAINING - Epoch #4503 Error:0.021375614530848044
TRAINING - Epoch #4504 Error:0.021366584789081638
TRAINING - Epoch #4505 Error:0.021355989580794377
TRAINING - Epoch #4506 Error:0.021343624132071914
TRAINING - Epoch #4507 Error:0.021329991103507084
TRAINING - Epoch #4508 Error:0.021315052700576514
TRAINING - Epoch #4509 Error:0.021302135593877617
TRAINING - Epoch #4510 Error:0.02131846223978076
TRAINING - Epoch #4511 Error:0.02130781939569062
TRAINING - Epoch #4512 Error:0.02130029242405981
TRAINING - Epoch #4513 Error:0.021297602030140982
TRAINING - Epoch #4514 Error:0.021297043156233698
TRAINING - Epoch #4515 Error:0.021294930422007138
TRAINING - Epoch #4516 Error:0.02129134666940488
TRAINING - Epoch #4517 Error:0.02128819361717656
TRAINING - Epoch #4518 Error:0.02128351064600914
TRAINING - Epoch #4519 Error:0.021277978786834916
TRAINING - Epoch #4520 Error:0.02127150706360421
TRAINING - Epoch #4521 Error:0.021264181311117018
TRAINING - Epoch #4522 Error:0.021255392932782082
TRAINING - Epoch #4523 Error:0.021246083317069644
TRAINING - Epoch #4524 Error:0.021235311046550086
TRAINING - Epoch #4525 Error:0.021222492482069266
TRAINING - Epoch #4526 Error:0.021207776680431546
TRAINING - Epoch #4527 Error:0.021190921786665956
TRAINING - Epoch #4528 Error:0.021182723824670863
TRAINING - Epoch #4529 Error:0.021209426852969726
TRAINING - Epoch #4530 Error:0.02118181672941703
TRAINING - Epoch #4531 Error:0.021194144941562586
TRAINING - Epoch #4532 Error:0.021178412201701618
TRAINING - Epoch #4533 Error:0.021173182606917428
TRAINING - Epoch #4534 Error:0.021168468613933126
TRAINING - Epoch #4535 Error:0.021166444311003993
TRAINING - Epoch #4536 Error:0.02116161464210467
TRAINING - Epoch #4537 Error:0.021155796957812705
TRAINING - Epoch #4538 Error:0.02114874394954437
TRAINING - Epoch #4539 Error:0.021143611988581137
TRAINING - Epoch #4540 Error:0.021142866118159784
TRAINING - Epoch #4541 Error:0.021141884303471175
TRAINING - Epoch #4542 Error:0.02113868057456564
TRAINING - Epoch #4543 Error:0.021134720220266388
TRAINING - Epoch #4544 Error:0.021129384137586027
TRAINING - Epoch #4545 Error:0.021123294710565618
TRAINING - Epoch #4546 Error:0.021116043084363028
TRAINING - Epoch #4547 Error:0.02110758534487234
TRAINING - Epoch #4548 Error:0.021098002388637783
TRAINING - Epoch #4549 Error:0.021087357664725276
TRAINING - Epoch #4550 Error:0.021074292035289394
TRAINING - Epoch #4551 Error:0.02106077496326177
TRAINING - Epoch #4552 Error:0.02105844503576156
TRAINING - Epoch #4553 Error:0.021066614822717503
TRAINING - Epoch #4554 Error:0.02105472392955891
TRAINING - Epoch #4555 Error:0.02105602949764716
TRAINING - Epoch #4556 Error:0.021051790940741607
TRAINING - Epoch #4557 Error:0.02104826885930215
TRAINING - Epoch #4558 Error:0.02104320565781438
TRAINING - Epoch #4559 Error:0.02103726626683755
TRAINING - Epoch #4560 Error:0.02103021348044498
TRAINING - Epoch #4561 Error:0.02102206661787524
TRAINING - Epoch #4562 Error:0.021012318917766046
TRAINING - Epoch #4563 Error:0.02100077147243562
TRAINING - Epoch #4564 Error:0.0209871046935771
TRAINING - Epoch #4565 Error:0.02097133649889815
TRAINING - Epoch #4566 Error:0.020953192260721672
TRAINING - Epoch #4567 Error:0.020933970177077346
TRAINING - Epoch #4568 Error:0.020911633138770248
TRAINING - Epoch #4569 Error:0.02094039535531401
TRAINING - Epoch #4570 Error:0.021005365912555068
TRAINING - Epoch #4571 Error:0.020909031748542667
TRAINING - Epoch #4572 Error:0.020918824215233348
TRAINING - Epoch #4573 Error:0.020910615849234968
TRAINING - Epoch #4574 Error:0.020908340961524722
TRAINING - Epoch #4575 Error:0.020902550843992587
TRAINING - Epoch #4576 Error:0.020898637341897352
TRAINING - Epoch #4577 Error:0.02089479349317089
TRAINING - Epoch #4578 Error:0.02089116408877271
TRAINING - Epoch #4579 Error:0.020886156598940598
TRAINING - Epoch #4580 Error:0.02088046849087691
TRAINING - Epoch #4581 Error:0.02087398475883405
TRAINING - Epoch #4582 Error:0.02086684562021709
TRAINING - Epoch #4583 Error:0.02086125232494604
TRAINING - Epoch #4584 Error:0.020865803248777275
TRAINING - Epoch #4585 Error:0.02085915561596564
TRAINING - Epoch #4586 Error:0.02085412813262795
TRAINING - Epoch #4587 Error:0.020849493924703495
TRAINING - Epoch #4588 Error:0.020842814212173252
TRAINING - Epoch #4589 Error:0.020835129080071128
TRAINING - Epoch #4590 Error:0.020826162736428018
TRAINING - Epoch #4591 Error:0.02081617007840825
TRAINING - Epoch #4592 Error:0.02080425173096531
TRAINING - Epoch #4593 Error:0.02079024676936862
TRAINING - Epoch #4594 Error:0.02078697317765035
TRAINING - Epoch #4595 Error:0.02078145752227831
TRAINING - Epoch #4596 Error:0.020785245909966502
TRAINING - Epoch #4597 Error:0.02077407626061612
TRAINING - Epoch #4598 Error:0.02077340129584174
TRAINING - Epoch #4599 Error:0.02077053815783826
TRAINING - Epoch #4600 Error:0.020768630394824614
TRAINING - Epoch #4601 Error:0.020764668051725502
TRAINING - Epoch #4602 Error:0.02075987174360962
TRAINING - Epoch #4603 Error:0.020754782870182707
TRAINING - Epoch #4604 Error:0.02074859792399759
TRAINING - Epoch #4605 Error:0.020742369523497048
TRAINING - Epoch #4606 Error:0.020734161209726192
TRAINING - Epoch #4607 Error:0.020725078666167778
TRAINING - Epoch #4608 Error:0.020714857183787454
TRAINING - Epoch #4609 Error:0.020709813960132547
TRAINING - Epoch #4610 Error:0.020696726553749552
TRAINING - Epoch #4611 Error:0.02068924617712514
TRAINING - Epoch #4612 Error:0.020676320220415247
TRAINING - Epoch #4613 Error:0.020662565316200542
TRAINING - Epoch #4614 Error:0.020645803274052965
TRAINING - Epoch #4615 Error:0.02062679684879953
TRAINING - Epoch #4616 Error:0.020604131714984077
TRAINING - Epoch #4617 Error:0.020578182293318287
TRAINING - Epoch #4618 Error:0.020585784219459644
TRAINING - Epoch #4619 Error:0.02076560158283722
TRAINING - Epoch #4620 Error:0.02055731081499638
TRAINING - Epoch #4621 Error:0.02054492544389638
TRAINING - Epoch #4622 Error:0.020597234437703466
TRAINING - Epoch #4623 Error:0.020543697247859195
TRAINING - Epoch #4624 Error:0.020545532092253634
TRAINING - Epoch #4625 Error:0.02053912678597519
TRAINING - Epoch #4626 Error:0.020537878983603833
TRAINING - Epoch #4627 Error:0.020535944418996484
TRAINING - Epoch #4628 Error:0.0205352424969175
TRAINING - Epoch #4629 Error:0.020532263269689436
TRAINING - Epoch #4630 Error:0.020528660381648633
TRAINING - Epoch #4631 Error:0.020524436140005712
TRAINING - Epoch #4632 Error:0.020519508665113453
TRAINING - Epoch #4633 Error:0.020513920557497813
TRAINING - Epoch #4634 Error:0.02050787845300247
TRAINING - Epoch #4635 Error:0.02050007486452687
TRAINING - Epoch #4636 Error:0.020491328998349174
TRAINING - Epoch #4637 Error:0.020480844233312926
TRAINING - Epoch #4638 Error:0.0204688545849486
TRAINING - Epoch #4639 Error:0.02045713199161309
TRAINING - Epoch #4640 Error:0.02044605385701147
TRAINING - Epoch #4641 Error:0.02047481313411222
TRAINING - Epoch #4642 Error:0.02044945836556031
TRAINING - Epoch #4643 Error:0.020441211121925738
TRAINING - Epoch #4644 Error:0.02043887151375436
TRAINING - Epoch #4645 Error:0.020440262732681416
TRAINING - Epoch #4646 Error:0.020436310157150896
TRAINING - Epoch #4647 Error:0.020432478904159303
TRAINING - Epoch #4648 Error:0.02042771754253052
TRAINING - Epoch #4649 Error:0.02042257517831734
TRAINING - Epoch #4650 Error:0.020418916809307144
TRAINING - Epoch #4651 Error:0.02041755606581462
TRAINING - Epoch #4652 Error:0.020416064368779994
TRAINING - Epoch #4653 Error:0.02041232439337383
TRAINING - Epoch #4654 Error:0.0204075701882992
TRAINING - Epoch #4655 Error:0.02040317053590481
TRAINING - Epoch #4656 Error:0.0203972010643026
TRAINING - Epoch #4657 Error:0.02039042365909836
TRAINING - Epoch #4658 Error:0.02038296239191859
TRAINING - Epoch #4659 Error:0.02037370069925817
TRAINING - Epoch #4660 Error:0.020362985066328092
TRAINING - Epoch #4661 Error:0.020350477321357568
TRAINING - Epoch #4662 Error:0.02033731230537499
TRAINING - Epoch #4663 Error:0.020343275964267635
TRAINING - Epoch #4664 Error:0.020337067501326703
TRAINING - Epoch #4665 Error:0.020336798085048468
TRAINING - Epoch #4666 Error:0.020331734064471522
TRAINING - Epoch #4667 Error:0.020328110328822434
TRAINING - Epoch #4668 Error:0.020323479488495475
TRAINING - Epoch #4669 Error:0.02031729174980851
TRAINING - Epoch #4670 Error:0.02031013347663796
TRAINING - Epoch #4671 Error:0.02030164982309213
TRAINING - Epoch #4672 Error:0.02029297025743865
TRAINING - Epoch #4673 Error:0.02028251401510894
TRAINING - Epoch #4674 Error:0.02026979808170108
TRAINING - Epoch #4675 Error:0.02025501601824201
TRAINING - Epoch #4676 Error:0.02023799086914221
TRAINING - Epoch #4677 Error:0.0202187214393337
TRAINING - Epoch #4678 Error:0.02019718734657351
TRAINING - Epoch #4679 Error:0.02024021951126782
TRAINING - Epoch #4680 Error:0.0202225622066016
TRAINING - Epoch #4681 Error:0.020199949727778332
TRAINING - Epoch #4682 Error:0.020200088305193858
TRAINING - Epoch #4683 Error:0.020191766176343447
TRAINING - Epoch #4684 Error:0.02019233067256723
TRAINING - Epoch #4685 Error:0.020187139183249766
TRAINING - Epoch #4686 Error:0.02018170594577624
TRAINING - Epoch #4687 Error:0.02017570597266605
TRAINING - Epoch #4688 Error:0.020168887891379914
TRAINING - Epoch #4689 Error:0.02016112484342193
TRAINING - Epoch #4690 Error:0.02015245810942821
TRAINING - Epoch #4691 Error:0.02014728787223587
TRAINING - Epoch #4692 Error:0.020146132417690518
TRAINING - Epoch #4693 Error:0.02014635953722363
TRAINING - Epoch #4694 Error:0.020144283800821023
TRAINING - Epoch #4695 Error:0.0201423141495273
TRAINING - Epoch #4696 Error:0.02013859956980341
TRAINING - Epoch #4697 Error:0.0201338588716473
TRAINING - Epoch #4698 Error:0.020128381903175938
TRAINING - Epoch #4699 Error:0.020121957149696567
TRAINING - Epoch #4700 Error:0.02011439665419189
TRAINING - Epoch #4701 Error:0.020105476410585337
TRAINING - Epoch #4702 Error:0.02009498420055856
TRAINING - Epoch #4703 Error:0.020083343634693867
TRAINING - Epoch #4704 Error:0.02007825840541363
TRAINING - Epoch #4705 Error:0.020089654656995568
TRAINING - Epoch #4706 Error:0.02007505552352407
TRAINING - Epoch #4707 Error:0.020068060050759753
TRAINING - Epoch #4708 Error:0.020059816988829953
TRAINING - Epoch #4709 Error:0.0200531769035374
TRAINING - Epoch #4710 Error:0.020045926972337907
TRAINING - Epoch #4711 Error:0.02004143088792267
TRAINING - Epoch #4712 Error:0.020047105230482178
TRAINING - Epoch #4713 Error:0.020037541694408512
TRAINING - Epoch #4714 Error:0.02003900019257857
TRAINING - Epoch #4715 Error:0.020034529397483635
TRAINING - Epoch #4716 Error:0.020030451516175236
TRAINING - Epoch #4717 Error:0.020027636216533053
TRAINING - Epoch #4718 Error:0.020022930916679935
TRAINING - Epoch #4719 Error:0.02001715932288358
TRAINING - Epoch #4720 Error:0.020010453670902782
TRAINING - Epoch #4721 Error:0.0200025291182063
TRAINING - Epoch #4722 Error:0.01999355275502498
TRAINING - Epoch #4723 Error:0.01998292166592908
TRAINING - Epoch #4724 Error:0.019977749382259363
TRAINING - Epoch #4725 Error:0.019978608431022216
TRAINING - Epoch #4726 Error:0.019978269044150048
TRAINING - Epoch #4727 Error:0.01997066047223479
TRAINING - Epoch #4728 Error:0.019970853191803428
TRAINING - Epoch #4729 Error:0.019967527899646433
TRAINING - Epoch #4730 Error:0.019963361294227284
TRAINING - Epoch #4731 Error:0.019959581400100977
TRAINING - Epoch #4732 Error:0.019957772103548276
TRAINING - Epoch #4733 Error:0.019952836884689355
TRAINING - Epoch #4734 Error:0.019947276693437183
TRAINING - Epoch #4735 Error:0.01994069125257701
TRAINING - Epoch #4736 Error:0.019932941337741053
TRAINING - Epoch #4737 Error:0.019925184823439617
TRAINING - Epoch #4738 Error:0.01991629332667014
TRAINING - Epoch #4739 Error:0.01990505733583563
TRAINING - Epoch #4740 Error:0.019892477696752554
TRAINING - Epoch #4741 Error:0.01987987848411248
TRAINING - Epoch #4742 Error:0.019874115551322874
TRAINING - Epoch #4743 Error:0.01990942773341515
TRAINING - Epoch #4744 Error:0.0198699953621773
TRAINING - Epoch #4745 Error:0.019861698238104752
TRAINING - Epoch #4746 Error:0.019851471320592784
TRAINING - Epoch #4747 Error:0.019839494246101
TRAINING - Epoch #4748 Error:0.01985963221304406
TRAINING - Epoch #4749 Error:0.019840106057087224
TRAINING - Epoch #4750 Error:0.01984669880313554
TRAINING - Epoch #4751 Error:0.01983870639182009
TRAINING - Epoch #4752 Error:0.019834318849157134
TRAINING - Epoch #4753 Error:0.019829223648023524
TRAINING - Epoch #4754 Error:0.019823967416147493
TRAINING - Epoch #4755 Error:0.01981719785482354
TRAINING - Epoch #4756 Error:0.01980935522327256
TRAINING - Epoch #4757 Error:0.019800112540634025
TRAINING - Epoch #4758 Error:0.019789738193526002
TRAINING - Epoch #4759 Error:0.019778327702366826
TRAINING - Epoch #4760 Error:0.01976376479285315
TRAINING - Epoch #4761 Error:0.01979221612600771
TRAINING - Epoch #4762 Error:0.01976567953153852
TRAINING - Epoch #4763 Error:0.019771641837017052
TRAINING - Epoch #4764 Error:0.01976161112210882
TRAINING - Epoch #4765 Error:0.019757248362944204
TRAINING - Epoch #4766 Error:0.01975132308934583
TRAINING - Epoch #4767 Error:0.019744318926428524
TRAINING - Epoch #4768 Error:0.01973617154714567
TRAINING - Epoch #4769 Error:0.019727066991294565
TRAINING - Epoch #4770 Error:0.019716152663220455
TRAINING - Epoch #4771 Error:0.019727645383608022
TRAINING - Epoch #4772 Error:0.01971442096567035
TRAINING - Epoch #4773 Error:0.019716002085723765
TRAINING - Epoch #4774 Error:0.019711860333182122
TRAINING - Epoch #4775 Error:0.019708097329271267
TRAINING - Epoch #4776 Error:0.019703952478370507
TRAINING - Epoch #4777 Error:0.019699089246721535
